ID,Name,Value,Rank
0,task0,3,3
1,task1,9,4
2,task2,1,4
3,task3,7,2
4,task4,1,2
5,task5,6,3
6,task6,3,4
7,task7,8,3
8,task8,4,3
9,task9,3,3
10,task10,9,2
11,task11,10,3
12,task12,2,1
13,task13,3,1
14,task14,8,4
15,task15,3,4
16,task16,5,4
17,task17,2,3
18,task18,6,3
19,task19,8,3
20,task20,3,4
21,task21,10,4
22,task22,8,3
23,task23,1,2
24,task24,10,3
25,task25,1,2
26,task26,5,4
27,task27,8,4
28,task28,10,3
29,task29,8,3
30,task30,10,1
31,task31,6,4
32,task32,2,1
33,task33,8,3
34,task34,4,3
35,task35,3,1
36,task36,4,2
37,task37,3,2
38,task38,5,2
39,task39,8,2
40,task40,1,1
41,task41,9,4
42,task42,4,3
43,task43,8,1
