ID,Date
7,27-Jan
15,15-Jun
7,9-Feb
1,14-May
14,13-May
8,20-Jan
13,14-Jun
10,12-Mar
0,1-Feb
18,23-Apr
10,11-May
18,21-Apr
16,26-Mar
18,3-Feb
5,8-Jan
19,12-Feb
3,24-Jun
9,27-Jun
7,8-Jun
12,15-Apr
4,28-Jun
7,9-Mar
17,6-Jun
14,18-Jan
3,15-Mar
8,27-Apr
11,10-Jun
14,13-Mar
7,16-Feb
10,5-Mar
19,29-Jun
8,11-May
17,17-Apr
9,28-Jun
15,27-May
4,3-Apr
14,5-Mar
13,21-Apr
0,9-May
9,20-Jan
2,20-Apr
13,13-Feb
19,30-Mar
10,24-Mar
7,26-Apr
11,25-Jun
7,30-May
5,27-Feb
18,21-May
17,17-Apr
19,14-Jun
12,29-Feb
9,17-Feb
8,27-May
2,21-Jun
13,27-May
19,23-Feb
7,11-Feb
3,5-May
18,22-Jun
15,5-Jan
18,30-May
9,7-Apr
13,24-May
5,25-Mar
5,8-Apr
15,18-Mar
0,16-May
17,29-Mar
17,16-Jun
1,29-Jun
18,11-Jan
15,18-Jun
8,11-Jan
4,1-Jun
15,9-Mar
12,17-Mar
13,25-Feb
4,21-Mar
5,19-Mar
7,11-Jan
3,28-Apr
12,16-Jan
16,15-Jun
2,18-Jun
7,30-May
7,10-Jan
5,9-Mar
17,28-May
6,6-Jan
2,4-Jun
16,27-Mar
0,19-Mar
13,28-Mar
7,10-Mar
10,4-Mar
16,1-Apr
18,30-Apr
10,4-Apr
17,20-Feb
15,25-Feb
15,2-May
4,2-Jun
8,25-Apr
9,3-May
8,13-Feb
3,11-Jan
2,30-Feb
3,19-Feb
6,14-Mar
9,17-Mar
14,29-Jan
6,16-Mar
5,6-Apr
10,9-Mar
6,14-May
10,25-Apr
15,15-Jan
12,1-Feb
18,23-May
9,29-Feb
3,30-May
19,11-May
9,30-Jan
1,9-Apr
4,15-Mar
1,15-Apr
19,17-Feb
6,19-May
4,18-Jan
