ID,Date
0,01-Jan
0,02-Jan
0,03-Jan
1,01-Jan
1,02-Jan
1,03-Jan
2,01-Jan
2,02-Jan
2,03-Jan
3,01-Jan
3,02-Jan
3,03-Jan
4,01-Jan
4,02-Jan
4,03-Jan
5,01-Jan
5,02-Jan
5,03-Jan
6,01-Jan
6,02-Jan
6,03-Jan
7,01-Jan
7,02-Jan
7,03-Jan
8,01-Jan
8,02-Jan
8,03-Jan
9,01-Jan
9,02-Jan
9,03-Jan
10,01-Jan
10,02-Jan
10,03-Jan
11,01-Jan
11,02-Jan
11,03-Jan
12,01-Jan
12,02-Jan
12,03-Jan
13,01-Jan
13,02-Jan
13,03-Jan
14,01-Jan
14,02-Jan
14,03-Jan
15,01-Jan
15,02-Jan
15,03-Jan
16,01-Jan
16,02-Jan
16,03-Jan
17,01-Jan
17,02-Jan
17,03-Jan
18,01-Jan
18,02-Jan
18,03-Jan
19,01-Jan
19,02-Jan
19,03-Jan
20,01-Jan
20,02-Jan
20,03-Jan
21,01-Jan
21,02-Jan
21,03-Jan
22,01-Jan
22,02-Jan
22,03-Jan
23,01-Jan
23,02-Jan
23,03-Jan
24,01-Jan
24,02-Jan
24,03-Jan
25,01-Jan
25,02-Jan
25,03-Jan
26,01-Jan
26,02-Jan
26,03-Jan
27,01-Jan
27,02-Jan
27,03-Jan
28,01-Jan
28,02-Jan
28,03-Jan
